subject_code,subject_number,subject_year,subject_semester,subject_name,professor_id,created_college,governed_college,lecture_credit,lecture_type,lecture_max_personnel,lecture_applied_number,lecture_exclusive,university_exclusive,lecture_building,lecture_room_number,others,lecture_bound,special_course,dad_of_revenge
101067,11023,,,일반물리학실험(1),,교양대학,자연과학부,1,교필,0,,,,,,학문기초교양,,,
101067,11024,,,일반물리학실험(1),,교양대학,자연과학부,1,교필,0,,,,,,학문기초교양,,,
101067,11025,,,일반물리학실험(1),,교양대학,자연과학부,1,교필,0,,,,,,학문기초교양,,,
101067,11026,,,일반물리학실험(1),,교양대학,자연과학부,1,교필,0,,,,,,학문기초교양,,,
101067,11027,,,일반물리학실험(1),,교양대학,자연과학부,1,교필,0,,,,,,학문기초교양,,,
101067,11028,,,일반물리학실험(1),,교양대학,자연과학부,1,교필,0,,,,,,학문기초교양,,,
101067,11029,,,일반물리학실험(1),,교양대학,자연과학부,1,교필,0,,,,,,학문기초교양,,,
101067,11030,,,일반물리학실험(1),,교양대학,자연과학부,1,교필,0,,,,,,학문기초교양,,,
101067,11031,,,일반물리학실험(1),,교양대학,자연과학부,1,교필,0,,,,,,학문기초교양,,,
101067,11032,,,일반물리학실험(1),,교양대학,자연과학부,1,교필,0,,,,,,학문기초교양,,,
101067,11033,,,일반물리학실험(1),,교양대학,자연과학부,1,교필,0,,,,,,학문기초교양,,,
101067,11006,,,일반물리학실험(1),,교양대학,자연과학부,1,교필,0,,,,,,학문기초교양,,,
101067,11007,,,일반물리학실험(1),,교양대학,자연과학부,1,교필,0,,,,,,학문기초교양,,,
101067,11008,,,일반물리학실험(1),,교양대학,자연과학부,1,교필,0,,,,,,학문기초교양,,,
101067,11018,,,일반물리학실험(1),,교양대학,자연과학부,1,교필,0,,,,,,학문기초교양,,,
101067,11009,,,일반물리학실험(1),,교양대학,자연과학부,1,교필,0,,,,,,학문기초교양,,,
101067,11010,,,일반물리학실험(1),,교양대학,자연과학부,1,교필,0,,,,,,학문기초교양,,,
101067,11014,,,일반물리학실험(1),,교양대학,자연과학부,1,교필,0,,,,,,학문기초교양,,,
101067,11012,,,일반물리학실험(1),,교양대학,자연과학부,1,교필,0,,,,,,학문기초교양,,,
101067,11015,,,일반물리학실험(1),,교양대학,자연과학부,1,교필,0,,,,,,학문기초교양,,,
101067,11011,,,일반물리학실험(1),,교양대학,자연과학부,1,교필,0,,,,,,학문기초교양,,,
101067,11051,,,일반물리학실험(1),,교양대학,자연과학부,1,교필,0,,,,,,학문기초교양,,,
101067,11016,,,일반물리학실험(1),,교양대학,자연과학부,1,교필,0,,,,,,학문기초교양,,,
101067,11017,,,일반물리학실험(1),,교양대학,자연과학부,1,교필,0,,,,,,학문기초교양,,,
101067,11050,,,일반물리학실험(1),,교양대학,자연과학부,1,교필,0,,,,,,학문기초교양,,,
101067,11052,,,일반물리학실험(1),,교양대학,자연과학부,1,교필,0,,,,,,학문기초교양,,,
101067,11013,,,일반물리학실험(1),,교양대학,자연과학부,1,교필,0,,,,,,학문기초교양,,,
101067,11049,,,일반물리학실험(1),,교양대학,자연과학부,1,교필,0,,,,,,학문기초교양,,,
101067,11048,,,일반물리학실험(1),,교양대학,자연과학부,1,교필,0,,,,,,학문기초교양,,,
101067,11047,,,일반물리학실험(1),,교양대학,자연과학부,1,교필,0,,,,,,학문기초교양,,,
