grd_ScheduleMain_rn,grd_ScheduleMain_SUBJ_CD,grd_ScheduleMain_SUBJ_KNM,grd_ScheduleMain_SUBJ_ENM,grd_ScheduleMain_NOTE,grd_ScheduleMain_LECT_NUMB,grd_ScheduleMain_CMPT_DIV_NM,grd_ScheduleMain_CMPT_DIV_ENM,grd_ScheduleMain_UNIT,grd_ScheduleMain_LSTM_LIST,grd_ScheduleMain_LSTM_LIST_ENM,grd_ScheduleMain_COUR_INWON,grd_ScheduleMain_SP_LESS_CD_NM,grd_ScheduleMain_SP_LESS_CD_ENM,grd_ScheduleMain_MNG_LESS_NM,grd_ScheduleMain_MNG_LESS_ENM,grd_ScheduleMain_PROF_NM,grd_ScheduleMain_PROF_ENM,grd_ScheduleMain_BLDG_COUM,grd_ScheduleMain_BLDG_COUM_ENM,grd_ScheduleMain_PROG_YN,grd_ScheduleMain_OTSH_LIMT_YN,grd_ScheduleMain_DLES_COUR_PBT_YN,grd_ScheduleMain_ETC,grd_ScheduleMain_ETC_ENM
11,161006,공학수학(1),Engineering Mathematics(1),,21019,전필,Major Required Courses,3,"월(3), 화(6 ~ 7)","Mon(3), Tue(6 ~ 7)",40,기계시스템디자인공학과,Department of Mechanical System Design Engineering,기계시스템디자인공학과,Department of Mechanical System Design Engineering,표순재,Soonjae Pyo,프론티어관-410 프론티어관-408,Frontier Hall(032)-408 Frontier Hall(032)-410,보기,Y,Y,영어전용(Y),Offered in English
12,161006,공학수학(1),Engineering Mathematics(1),,21018,전필,Major Required Courses,3,"월(3), 화(6 ~ 7)","Mon(3), Tue(6 ~ 7)",40,기계시스템디자인공학과,Department of Mechanical System Design Engineering,기계시스템디자인공학과,Department of Mechanical System Design Engineering,김종형,"KIM, JONGHYEONG",프론티어관-401 프론티어관-401,Frontier Hall(032)-401,보기,Y,Y,,
13,161006,공학수학(1),Engineering Mathematics(1),,21021,전필,Major Required Courses,3,"화(3 ~ 4), 목(2)","Tue(3 ~ 4), Thu(2)",40,기계시스템디자인공학과,Department of Mechanical System Design Engineering,기계시스템디자인공학과,Department of Mechanical System Design Engineering,김정현,"Kim, Jeong-Hyun",다산관-320 다산관-320,Dasan Hall(002)-320,보기,Y,Y,,
14,161006,공학수학(1),Engineering Mathematics(1),,21020,전필,Major Required Courses,3,"수(5 ~ 6), 목(1)","Wed(5 ~ 6), Thu(1)",40,기계시스템디자인공학과,Department of Mechanical System Design Engineering,기계시스템디자인공학과,Department of Mechanical System Design Engineering,이창환,Chang-Whan LEE,다산관-319 다산관-314,Dasan Hall(002)-314 Dasan Hall(002)-319,보기,Y,Y,영어전용(Y),Offered in English
15,161006,공학수학(1),Engineering Mathematics(1),,21017,전필,Major Required Courses,3,"화(5), 목(1 ~ 2)","Tue(5), Thu(1 ~ 2)",40,기계시스템디자인공학과,Department of Mechanical System Design Engineering,기계시스템디자인공학과,Department of Mechanical System Design Engineering,김영석,김영석,프론티어관-408 프론티어관-408,Frontier Hall(032)-408,보기,Y,Y,,
16,161006,공학수학(1),Engineering Mathematics(1),,21016,전필,Major Required Courses,3,"화(2), 목(6 ~ 7)","Tue(2), Thu(6 ~ 7)",40,기계시스템디자인공학과,Department of Mechanical System Design Engineering,기계시스템디자인공학과,Department of Mechanical System Design Engineering,김영석,김영석,프론티어관-402 프론티어관-402,Frontier Hall(032)-402,보기,Y,Y,,
17,161008,기계공작법,Manufacturing Processes,,31001,전선,Major Electives,3,"화(2), 목(6 ~ 7)","Tue(2), Thu(6 ~ 7)",45,기계시스템디자인공학과,Department of Mechanical System Design Engineering,기계시스템디자인공학과,Department of Mechanical System Design Engineering,맹희영,"Maeng, Hee young",프론티어관-406 프론티어관-406,Frontier Hall(032)-406,보기,Y,Y,,
18,161008,기계공작법,Manufacturing Processes,,31002,전선,Major Electives,3,"화(5), 목(1 ~ 2)","Tue(5), Thu(1 ~ 2)",45,기계시스템디자인공학과,Department of Mechanical System Design Engineering,기계시스템디자인공학과,Department of Mechanical System Design Engineering,맹희영,"Maeng, Hee young",프론티어관-509 프론티어관-509,Frontier Hall(032)-509,보기,Y,Y,,
19,161013,인간공학,Human-Centered Design Engineering,,31001,전선,Major Electives,3,"화(8 ~ 9), 목(2)","Tue(8 ~ 9), Thu(2)",40,기계시스템디자인공학과,Department of Mechanical System Design Engineering,기계시스템디자인공학과,Department of Mechanical System Design Engineering,김헌,"Kim, Huhn",다산관-319 다산관-319,Dasan Hall(002)-319,보기,Y,Y,,
20,181004,기계제도,Engineering Drawing,,21004,전필,Major Required Courses,3,금(6 ~ 9),Fri(6 ~ 9),40,기계시스템디자인공학과,Department of Mechanical System Design Engineering,기계시스템디자인공학과,Department of Mechanical System Design Engineering,강춘식,강춘식,프론티어관-502,Frontier Hall(032)-502,보기,Y,Y,,
